Airline,Market,All_Detected_Brands,Identified_Basic_Economy_Brand,Confidence_Level,BE_Score
AS,PDX-LAX,"MAIN, MAIN|MAIN, REFUNDABLE MAIN, REFUNDABLE MAIN|REFUNDABLE MAIN, SAVER, SAVER|SAVER",SAVER,High,95
AS,PDX-MIA,"MAIN|MAIN, REFUNDABLE MAIN|REFUNDABLE MAIN, SAVER|SAVER",SAVER|SAVER,High,95
AS,PDX-ORD,"MAIN, MAIN|MAIN, REFUNDABLE MAIN, REFUNDABLE MAIN|REFUNDABLE MAIN, SAVER, SAVER|SAVER",SAVER,High,95
AS,PHL-SEA,"MAIN, REFUNDABLE MAIN, REFUNDABLE MAIN|REFUNDABLE MAIN, SAVER",SAVER,High,95
AS,SAN-PDX,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SAN-SEA,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-ANC,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-BOI,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-BUR,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-DEN,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-DFW,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-FAI,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-GEG,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-HNL,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-JNU,ECONOMY,ECONOMY,High,75
AS,SEA-LAS,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-LAX,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-ONT,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-ORD,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-PDX,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-PHX,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-PSP,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-SAN,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-SFO,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-SJC,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-SLC,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-SMF,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SEA-SNA,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SFO-LAX,"BASIC ECONOMY, ECONOMY",BASIC ECONOMY,High,75
AS,SFO-ORD,"MAIN, MAIN|MAIN, REFUNDABLE MAIN, REFUNDABLE MAIN|REFUNDABLE MAIN, SAVER, SAVER|SAVER",SAVER,High,95
AS,SFO-PDX,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SFO-SEA,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SJC-SEA,BASIC ECONOMY,BASIC ECONOMY,High,75
AS,SLC-SEA,BASIC ECONOMY,BASIC ECONOMY,High,75
